created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
10/5/17 20:12,@SenFeinstein @SenKamalaHarris @RonWyden @SenWhitehouse @SenatorHassan @BenCardinforMD @SenJeffMerkley‰Û_ https://t.co/mpF0IslYHO,https://twitter.com/SenBennetCO/status/916033417766084608,1,9,26,SenBennetCO,B001267,D,CO
10/5/17 16:50,@SenFeinstein @SenKamalaHarris @RonWyden @SenWhitehouse @SenatorHassan @BenCardinforMD @SenJeffMerkley‰Û_ https://t.co/0l7Pybqmkm,https://twitter.com/SenBennetCO/status/915982616377151488,6,56,84,SenBennetCO,B001267,D,CO
10/5/17 16:29,We can't stand by idly as admin blatantly disregards science. Intro'd bill to standardize cost of climate pollution‰Û_ https://t.co/NFFHxFYRus,https://twitter.com/SenBennetCO/status/915977197164400640,20,89,302,SenBennetCO,B001267,D,CO
10/5/17 0:23,Closing this gap is the least we can do to try and reduce gun violence in our communities. #EndGunViolence,https://twitter.com/SenBennetCO/status/915734177504530433,31,24,159,SenBennetCO,B001267,D,CO
10/5/17 0:23,Cosponsored bill to fix glitch in law that lets ppl avoid restrictions on converting firearms into murder weapons: https://t.co/csEy7En7FH,https://twitter.com/SenBennetCO/status/915734100094353408,42,74,306,SenBennetCO,B001267,D,CO
10/4/17 23:46,NEWS: Court finds admin's delay of #BLM #methane rule unlawful. Let‰Ûªs return to important work of protecting kids &amp;‰Û_ https://t.co/86fynEOfmg,https://twitter.com/SenBennetCO/status/915724844741820416,6,50,156,SenBennetCO,B001267,D,CO
10/4/17 21:55,"Game on @Dbacks (&amp; @SenJohnMcCain)#Rocktober https://t.co/Q1hNBieABv",https://twitter.com/SenBennetCO/status/915696856797196288,1,6,70,SenBennetCO,B001267,D,CO
10/4/17 20:29,Standing strong with Colorado‰Ûªs #Dreamers &amp; urging my colleagues to pass the #DreamActNow. https://t.co/vQd9Ck5rLD,https://twitter.com/SenBennetCO/status/915675193200308224,15,64,264,SenBennetCO,B001267,D,CO
10/4/17 19:34,This is why we are fighting so hard for immediate extension of #CHIP. Colorado‰Ûªs kids &amp; expecting mothers deserve c‰Û_ https://t.co/zkinobefFc,https://twitter.com/SenBennetCO/status/915661382653218816,7,47,117,SenBennetCO,B001267,D,CO
10/4/17 19:30,#CHIP extension in @SenateFinance is step in right direction. @SenateMajLdr should put #KidsAct on Senate floor for‰Û_ https://t.co/g4usqIV8By,https://twitter.com/SenBennetCO/status/915660488683466752,0,15,38,SenBennetCO,B001267,D,CO
10/4/17 19:12,#BLM #methane rule delay is step in wrong direction. Should be addressing climate change &amp; protecting CO health‰ÛÓnot‰Û_ https://t.co/JQJP9RYAxy,https://twitter.com/SenBennetCO/status/915655897183121409,10,34,86,SenBennetCO,B001267,D,CO
10/3/17 21:53,Cosponsored bill w/ @SenCoryGardner to extend funding for #CHIP. It's too essential to CO families to delay further: https://t.co/IFBR4B6X1X,https://twitter.com/SenBennetCO/status/915334076923613184,28,116,410,SenBennetCO,B001267,D,CO
10/3/17 20:56,"We can't prevent all evil acts, but we can do our part to make them less likely‰ÛÓstarting w/ action to keep wrong we‰Û_ https://t.co/MT5rgyomvS",https://twitter.com/SenBennetCO/status/915319739009953794,56,81,365,SenBennetCO,B001267,D,CO
