"STATION","NAME","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T06:00:00","28.0","53.1","40.7","66.0","59.0","72.0","66.0","65.9"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T07:00:00","30.0","53.1","42.1","70.2","64.0","75.9","70.2","70.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T08:00:00","32.0","53.1","42.6","74.0","66.9","80.1","74.0","74.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T09:00:00","30.9","53.1","42.2","77.6","70.0","84.0","77.6","77.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T10:00:00","30.9","53.1","41.8","80.8","73.0","88.0","80.8","80.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T11:00:00","30.0","52.0","41.1","84.1","75.0","91.0","84.1","84.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T12:00:00","28.9","52.0","40.6","86.7","77.0","93.9","86.7","86.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T13:00:00","28.0","52.0","39.8","88.5","78.1","96.1","88.5","88.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T14:00:00","27.0","51.1","39.1","89.8","79.0","98.1","89.8","89.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T15:00:00","26.1","52.0","38.7","90.4","80.1","99.0","90.4","90.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T16:00:00","25.0","52.0","38.5","90.3","79.0","99.0","90.3","90.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T17:00:00","26.1","52.0","38.1","89.6","78.1","98.1","89.6","89.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T18:00:00","25.0","51.1","38.2","88.1","77.0","97.0","88.1","88.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T19:00:00","26.1","53.1","38.6","85.4","73.0","93.9","85.4","85.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T20:00:00","24.1","53.1","38.1","80.4","70.0","87.1","80.4","80.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T21:00:00","21.9","53.1","37.1","76.7","66.9","84.9","76.7","76.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T22:00:00","21.0","53.1","37.4","74.5","66.0","82.9","74.5","74.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T23:00:00","21.0","54.0","38.0","73.2","64.9","81.0","73.2","73.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T00:00:00","23.0","54.0","38.7","71.4","63.0","79.0","71.4","71.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T01:00:00","24.1","53.1","39.1","70.0","62.1","77.0","70.0","70.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T02:00:00","25.0","53.1","39.7","68.7","61.0","75.0","68.7","68.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T03:00:00","26.1","53.1","39.9","67.3","60.1","73.9","67.3","67.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T04:00:00","26.1","53.1","40.0","66.0","59.0","73.0","66.0","66.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T05:00:00","28.0","54.0","40.2","64.8","57.9","72.0","64.8","64.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T06:00:00","28.9","54.0","41.2","66.1","60.1","72.0","66.1","66.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T07:00:00","30.9","54.0","42.5","70.4","64.0","75.9","70.4","70.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T08:00:00","32.0","54.0","43.1","74.1","66.9","80.1","74.1","74.1"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-03T09:00:00","32.0","54.0","42.6","77.6","70.0","84.0","77.6","77.6"
