Date,Filter ID,Mass (mg),,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'02-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'03-Apr-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'06-Apr-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
